subdivision_uid,number,name
an2,17,Akusalapeyyāla Vagga
an2,18,Vinayapeyyāla Vagga
an2,19,Rāgādipeyyāla Vagga
an3,1,Bāla Vagga
an3,2,Rathakāra Vagga
an3,3,Puggala Vagga
an3,4,Devadūta Vagga
an3,5,Cūḷa Vagga
an3,6,Brāhmaṇa Vagga
an3,7,Mahā Vagga
an3,8,Ānanda Vagga
an3,9,Samaṇa Vagga
an3,10,Loṇaphala Vagga
an3,11,Sambodhi Vagga
an3,12,Āpāyika Vagga
an3,13,Kusināra Bharandu Vagga
an3,14,Yodhājīva Vagga
an3,15,Maṅgala Vagga
an3,16,Patipadā Vagga
an3,17,Kammapathapeyyā Vagga
an3,18,Rāgādipeyyāla Vagga
an4,1,Bhanḍagāma Vagga
an4,2,Cara Vagga
an4,3,Uruvela Vagga
an4,4,Cakka Vagga
an4,5,Rohitassa Vagga
an4,6,Puññābhisanda Vagga 
an4,7,Pattakamma Vagga
an4,8,Apaṇṇaka Vagga
an4,9,Macala Vagga
an4,10,Asura Vagga
an4,11,Valāhaka Vagga
an4,12,Kesi Vagga
an4,13,Bhaya Vagga
an4,14,Puggala Vagga
an4,15,Ābhā Vagga
an4,16,Indriya Vagga
an4,17,Paṭipadā Vagga
an4,18,Sañcetaniya Vagga
an4,19,Brāhmaṇa Vagga
an4,20,Mahā Vagga
an4,21,Sappurisa Vagga
an4,22,Parisasobhaṇa Vagga
an4,23,Sucarita Vagga
an4,24,Kamma Vagga
an4,25,Āpattibhaya Vagga
an4,26,Abhiññā Vagga
an4,27,Kammapatha Vagga
an4,28,Rāgādipeyyāla Vagga
an5,1,Sekhabala Vagga
an5,2,Bala Vagga
an5,3,Pañcaṅgika Vagga
an5,4,Sumana Vagga
an5,5,Muṇḍarāja Vagga
an5,6,Nīvaraṇa Vagga
an5,7,Sañña Vagga
an5,8,Anāgatabhaya Vagga
an5,9,Thera Vagga
an5,10,Kakudha Vagga
an5,11,Phāsuvihāra Vagga
an5,12,Andhakavinda Vagga
an5,13,Gilāna Vagga
an5,14,Rāja Vagga
an5,15,Tikaṇḍakī Vagga
an5,16,Saddhamma Vagga
an5,17,Āghāta Vagga
an5,18,Upāsaka Vagga
an5,19,Āraññaka Vagga
an5,20,Soṇa Vagga
an5,21,Kimbila Vagga
an5,22,Akkosaka Vagga 
an5,23,Dīghacārika  Vagga
an5,24,Āvāsika Vagga
an5,25,Duccarita  Vagga
an5,26,Upasampadā Vagga
an6,1,Āhuneyya Vagga
an6,2,Sārāṇīya Vagga
an6,3,Anuttariya  Vagga
an6,4,Devatā  Vagga
an6,5,Dhammika  Vagga
an6,6,Mahā Vagga
an6,7,Anāgāmi  Vagga
an6,8,Arahatta  Vagga
an6,9,Sīti  Vagga
an6,10,Ānisaṃsa  Vagga
an6,11,Tika  Vagga
an6,12,Sāmañña Vagga
an7,1,Dhana Vagga
an7,2,Anusaya Vagga
an7,3,Vajjisattaka Vagga
an7,4,Devatā Vagga
an7,5,Mahāyaññā Vagga
an7,6,Abyākata Vagga
an7,7,Mahā Vagga
an7,8,Vinaya Vagga
an7,9,Samana Vagga
an7,10,Āhuneyya Vagga
an8,1,Mettā Vagga
an8,2,Mahā Vagga
an8,3,Gahapati Vagga
an8,4,Dāna Vagga
an8,5,Uposatha Vagga
an8,6,Gotamī Vagga
an8,7,Cāpāla Vagga
an8,8,Yamaka Vagga
an8,9,Sati Vagga
an8,10,Sāmañña Vagga
an8,11,Rāgādipeyyāla Vagga
an9,1,Sambodhi Vagga
an9,2,Sīhanāda Vagga
an9,3,Sattāvāsa Vagga
an9,4,Mahā Vagga
an9,5,Sāmañña Vagga
an9,6,Khema Vagga
an9,7,Satipatthāna Vagga
an9,8,Sammappadhāna Vagga
an9,9,Iddhipāda Vagga
an9,10,Rāgādipeyyāla Vagga
an10,1,Ānisamsa Vagga
an10,2,Nātha Vagga
an10,3,Mahā Vagga
an10,4,Upāli Vagga
an10,5,Akkosa Vagga
an10,6,Sacitta Vagga
an10,7,Yamaka Vagga
an10,8,Ākaṅkha Vagga
an10,9,Thera Vagga
an10,10,Upāli Vagga
an10,11,Samanasaññā Vagga
an10,12,Paccorohanī Vagga
an10,13,Parisuddha Vagga
an10,14,Sādhu Vagga
an10,15,Ariya Vagga
an10,16,Puggala Vagga
an10,17,Jānussoni Vagga
an10,18,Sādhu Vagga
an10,19,Ariyamagga Vagga
an10,20,Aparapuggala Vagga
an10,21,Karajakāya Vagga
an10,22,Sāmañña Vagga
an10,23,Ragadipeyyāla Vagga
an11,1,Nissaya Vagga
an11,2,Anussati Vagga
an11,3,Sāmañña Vagga
an11,4,Rāgādipeyyāla Vagga
da,2,
dhp,1,Yamaka Vagga
dhp,2,Appamāda Vagga
dhp,3,Citta Vagga
dhp,4,Puppha Vagga
dhp,5,Bāla Vagga
dhp,6,Paṇḍita Vagga
dhp,7,Arahanta Vagga
dhp,8,Sahassa Vagga
dhp,9,Pāpa Vagga
dhp,10,Daṇḍa Vagga
dhp,11,Jarā Vagga
dhp,12,Atta Vagga
dhp,13,Loka Vagga
dhp,14,Buddha Vagga
dhp,15,Sukha Vagga
dhp,16,Piya Vagga
dhp,17,Kodha Vagga
dhp,18,Mala Vagga
dhp,19,Dhammaṭṭha Vagga
dhp,20,Magga Vagga
dhp,21,Pakiṇṇaka Vagga
dhp,22,Niraya Vagga
