A,B,C,D,E,F,G,H,I,J
Rajaka-tīrtha,,,,,,,lzh-mg-bi-pn17,,skt-lo-bi-pn18
Udaka-dhārā,,,,,,,lzh-mg-bi-pn18,,skt-lo-bi-pn19
Udaka-srota,,,,,,,lzh-mg-bi-pn19,,skt-lo-bi-pn20
Vikṛti,,,,,,,lzh-mg-bi-pn20,,skt-lo-bi-pn21
Karma,,,,,,,lzh-mg-bi-pn21,,skt-lo-bi-pn22
Kauśeya,,,,,,,lzh-mg-bi-pn22,,skt-lo-bi-pn23
Gaṇḍa-praticchādana,,,,,,,lzh-mg-bi-pn23,,skt-lo-bi-pn24
Strī-alaṁkāra,,,,,,,lzh-mg-bi-pn24,,skt-lo-bi-pn25
Utpala-vāpaka,,,,,,,lzh-mg-bi-pn25,,skt-lo-bi-pn26
Sumanā-vāpanā,,,,,,,lzh-mg-bi-pn26,,skt-lo-bi-pn27
Utpala-granthikā,,,,,,,lzh-mg-bi-pn27*,,skt-lo-bi-pn28
Sumanā-granthikā,,,,,,,lzh-mg-bi-pn27*,,skt-lo-bi-pn29
Kartanā,,,,,,,lzh-mg-bi-pn28,,skt-lo-bi-pn30
Ācāra-vikopanā,,,,,,,lzh-mg-bi-pn29,,skt-lo-bi-pn31
Pātra-praticchādanā,,,,,,,lzh-mg-bi-pn30,,skt-lo-bi-pn32
Ratna,,,,,,,lzh-mg-bi-pn31,,skt-lo-bi-pn49
Varca-kuṭi,,,,,,,lzh-mg-bi-pn32,,skt-lo-bi-pn33
Jentāka,,,,,,,lzh-mg-bi-pn33,,skt-lo-bi-pn34
Āraṇyaka,,,,,,,lzh-mg-bi-pn34,,skt-lo-bi-pn35
Bhikṣūṇām āstāro,,,,,,,lzh-mg-bi-pn35*,,skt-lo-bi-pn36
Bhikṣuṇīnāṁ āstāro,,,,,,,lzh-mg-bi-pn35*,,skt-lo-bi-pn37
Bhikṣūṇām uddhāro,,,,,,,lzh-mg-bi-pn35*,,skt-lo-bi-pn38
Bhikṣuṇīnām uddhāro,,,,,,,lzh-mg-bi-pn35*,,skt-lo-bi-pn39
Bhikṣūṇām abhihāro,,,,,,,lzh-mg-bi-pn35*,,skt-lo-bi-pn40
Bhikṣuṇīnām abhihāro,,,,,,,lzh-mg-bi-pn35*,,skt-lo-bi-pn41
Bhikṣūṇām āmiṣaṁ,,,,,,,lzh-mg-bi-pn36*,,skt-lo-bi-pn42
Bhikṣuṇīnām āmiṣaṁ,,,,,,,lzh-mg-bi-pn36*,,skt-lo-bi-pn43
Labhyaṁ bhikṣusya bhikṣuṇīya,,,,,,,lzh-mg-bi-pn36*,,skt-lo-bi-pn44
Labhyaṁ bhikṣuṇīye bhikṣūṇā,,,,,,,lzh-mg-bi-pn36*,,skt-lo-bi-pn45
Abhikṣu-karaṇāni,,,,,,,lzh-mg-bi-pn37,,skt-lo-bi-pn46
Abhikṣuṇī-karaṇāni,,,,,,,lzh-mg-bi-pn38,,skt-lo-bi-pn47
Atirikta-karma,,,,,,,lzh-mg-bi-pn39,,skt-lo-bi-pn48
Yathā-vṛddhikāya,,,,,,,lzh-mg-bi-pn40,,skt-lo-bi-pn50
