sutta_uid,other_sutta_uid,partial,footnote
#commented-out texts are vinaya texts that are yet not supported by correspondence.csv
mn72,up3.057,1,
mn73,sa964,,
mn73,sa-2.198,,
mn74,sa969,,
mn74,sa-2.203,,
mn74,t200.90,,
mn74,t1509.1a,,
mn74,t1545.98,,
mn74,tib20,,
mn74,tib30,,
sa970,sf82,1,
mn74,avs99,,
mn74,sf81,1,
mn74,sf133,,New edition Hosoda 1989b.
mn75,ma153,,
mn76,sht-sutta27,,"<span class='author'>Akanuma</span> p. 167 lists SA 973 at T ii 251b and SA2 207 at T ii 451a as partial parallels to MN 76. These two discourses, in which Ānanda discusses the need to overcome lust, anger, and delusion and points to the noble eightfold path as the means to achieve this, are rather parallels to AN 3.71 at AN i 215. <span class='author'>Hartmann</span> 1992: 47 notes that a so far unpublished fragment parallel to MN 76 at MN i 513,13–514,26 can be found in the Hoernle collection. | SHT iii 886 is identified in SHT viii p. 183."
mn76,sf294,,
mn77,ma207,,
mn78,ma179,,
mn79,ma208,,
mn80,ma209,,
mn80,t90,,
mn81,ma63,,
mn81,t197.10,,
mn81,dq10,,
an10.96,sf79,1,
#mn81,skt-mu-kd17#sbvii22-#sbvii30,,
mn82,tha-ap20,1,
mn82,ma132,,
mn82,t68,,
mn82,t69,,
mn82,t199.18a,1,
mn82,t199.18b,1,
mn82,t1507.4,1,
mn82,dq60,,
mn82,tib10,,
sa-2.204,sf82,1,
mn82,avs90,,
mn82,sf101,,
mn82,sht-sutta18,,
mn82,sf283,,
mn83,ja9,,
mn83,ja541,,
mn83,ma67,,
mn83,ea1.1,1,
mn83,ea50.4,,
mn83,t152.87,,
mn83,t211.38,,
mn83,t744,1,
mn83,dq30,,
mn83,up2.050,,
mn84,sa548,,
mn85,mn100,1,"Correspondence reference for MN 85 is MN ii 93, and for MN 100, MN ii 212."
#mn85,bodhirajakumaraka,1,
#mn85,t1421.10,,
mn85,sf5,,
mn85,sf47,,
mn85,sf68,,
mn85,sht-sutta33,,Folio 35 identified in SHT viii p. 162.
mn86,sa1077,,The events related in MN 86 recur in T 120 at T ii 512b (as recognised by <span class='author'>Akanuma</span> p. 168) and in Derge 213 at mdo sde tsha (57): 126a. Both of these are Mahayana discourses of the <i>tathāgatagarbha</i> type and therefore fall outside the scope of our presentation.
mn86,sa-2.16,,
mn86,t118,,
mn86,t119,,
mn86,ea38.6,,
mn86,t200.99,,
mn86,t212.17,,
mn86,tib50,1,
mn86,sf19,,
mn86,sf66,,
mn86,sht-sutta2,,SHT vi 1561 is identified by <span class='author'>Hartmann</span> 1998: 356 note 18.
mn87,ma216,,
mn87,t91,,
mn87,ea13.3,,
mn87,t154.15,,
mn88,ma214,,
mn89,an10.30,,
mn89,ma213,,
mn89,ea38.10,,
mn89,t1451.8,,
mn89,dq90,,
mn90,ma212,,
mn90,dq50,,
mn91,ma161,,
mn91,t76,,
mn91,sht-sutta53,,
mn92,snp3.7,,
mn92,ea49.6,,
#mn92,t1428.42b,,
mn92,sf12,,
mn93,ma151,,
mn93,t71,,
mn93,ea40.9,1,
mn94,sht-sutta64,1,
mn95,sf7,,
mn95,sf49,,
mn95,sf67,,
mn95,sht-sutta25,,Identified in SHT vii p. 274.
mn96,ma150,,
mn97,ma27,,
mn98,snp3.9,,
mn99,ma152,,<span class='author'>Akanuma</span> p. 168 lists T 79 at T i 888b as a parallel to MN 99. Inspection reveals that T 79 is rather a parallel to MN 135.
mn100,sf63,,
mn100,sht-sutta40,,SHT iv 33.28–29+30 is identified in SHT ix p. 369. | SHT iv 180.3–4+6 is identified in SHT ix p. 392.
mn101,ma19,,
mn102,tib80,,
mn102,sf57,,
mn102,sht-sutta24,,
mn104,ma196,,
mn104,t85,,
mn105,sht-sutta35,,
mn106,ma75,,
mn107,ma144,,
mn107,t70,,
mn108,ma145,,
mn109,sn22.82,,
mn109,sa58,,
mn109,up7.006,,
mn112,ma187,,
mn113,ma85,,
mn113,t48,,
mn113,ea17.9,,
mn114,an9.6,1,
mn114,an10.54,1,Corresponding sections are MN iii 58–59 and AN v 100.
mn114,ma109,1,Correspondence reference is T i 598c.
mn115,an1.268-277,1,
mn115,ma181,,
mn115,t776,,
mn115,t1509.24a,1,
mn115,t1537.10,,
mn115,dq110,,
mn115,up1.032,,
